date,time,open,high,low,close,volume
20250425,1409,6250,6250,6250,6250,21
20250425,1412,6250,6250,6250,6250,3
20250425,1414,6250,6250,6250,6250,2
20250425,1415,6240,6240,6240,6240,94
20250425,1422,6240,6240,6240,6240,99
20250425,1429,6240,6250,6240,6250,2
20250425,1430,6250,6250,6250,6250,6
20250425,1438,6240,6240,6240,6240,8
20250425,1441,6240,6240,6240,6240,1628
20250425,1443,6240,6250,6240,6250,4
20250425,1444,6240,6250,6240,6250,68
20250425,1447,6250,6250,6250,6250,158
20250425,1450,6240,6240,6240,6240,96
20250425,1452,6230,6230,6230,6230,5
20250425,1454,6230,6230,6230,6230,500
20250425,1456,6250,6250,6250,6250,1
20250425,1502,6250,6250,6250,6250,128
20250425,1504,6250,6250,6250,6250,10
20250425,1507,6230,6230,6230,6230,1
20250425,1508,6240,6240,6240,6240,14
20250425,1511,6240,6240,6240,6240,500
20250425,1512,6240,6240,6240,6240,213
20250425,1513,6230,6230,6230,6230,324
20250425,1514,6230,6240,6230,6240,909
20250425,1516,6240,6250,6240,6250,100
20250425,1518,6250,6250,6250,6250,5
20250425,1519,6240,6240,6240,6240,80
20250425,1520,6240,6240,6220,6220,595
20250425,1530,6220,6220,6220,6220,433
20250428,901,6280,6280,6280,6280,888
20250428,902,6250,6250,6250,6250,5
20250428,904,6250,6250,6250,6250,52
20250428,905,6260,6260,6260,6260,1
20250428,907,6280,6280,6280,6280,1
20250428,908,6270,6270,6270,6270,37
20250428,909,6270,6270,6270,6270,1
20250428,910,6270,6270,6270,6270,1
20250428,911,6260,6260,6250,6250,30
20250428,913,6260,6260,6260,6260,20
20250428,914,6250,6250,6250,6250,200
20250428,916,6250,6250,6250,6250,70
20250428,918,6250,6250,6250,6250,201
20250428,919,6250,6250,6250,6250,914
20250428,920,6250,6250,6250,6250,2
20250428,922,6250,6260,6250,6260,200
20250428,923,6250,6250,6250,6250,2378
20250428,925,6240,6240,6240,6240,5
20250428,928,6240,6240,6240,6240,13
20250428,930,6250,6250,6250,6250,8
20250428,932,6250,6250,6250,6250,33
20250428,934,6240,6240,6240,6240,10
20250428,935,6240,6250,6240,6240,1221
20250428,936,6250,6250,6240,6250,204
20250428,939,6250,6250,6240,6240,162
20250428,940,6250,6250,6250,6250,100
20250428,941,6240,6240,6240,6240,33
20250428,943,6250,6250,6250,6250,1
20250428,944,6250,6250,6250,6250,9
20250428,945,6250,6250,6250,6250,3
20250428,947,6250,6250,6250,6250,19
20250428,948,6250,6250,6240,6250,54
20250428,949,6240,6240,6240,6240,6
20250428,953,6240,6240,6220,6220,2500
20250428,955,6230,6230,6230,6230,5
20250428,957,6230,6230,6230,6230,10
20250428,1003,6230,6235,6230,6235,637
20250428,1005,6240,6240,6240,6240,2
20250428,1008,6235,6250,6235,6250,39
20250428,1011,6250,6250,6250,6250,1
20250428,1012,6250,6250,6250,6250,6
20250428,1014,6250,6260,6250,6250,416
20250428,1015,6250,6250,6250,6250,561
20250428,1016,6250,6260,6250,6260,2
20250428,1019,6250,6250,6250,6250,2
20250428,1020,6250,6250,6250,6250,61
20250428,1022,6250,6250,6250,6250,300
20250428,1023,6250,6250,6250,6250,107
20250428,1024,6260,6260,6260,6260,1
20250428,1026,6250,6250,6240,6240,2000
20250428,1030,6245,6245,6240,6240,2
20250428,1031,6240,6240,6240,6240,1
20250428,1032,6240,6240,6230,6230,698
20250428,1037,6230,6230,6230,6230,1
20250428,1038,6240,6260,6240,6260,1339
20250428,1042,6240,6240,6240,6240,35
20250428,1043,6250,6250,6250,6250,356
20250428,1047,6240,6240,6220,6230,3840
20250428,1048,6250,6250,6250,6250,1
20250428,1049,6230,6240,6230,6240,232
20250428,1051,6240,6260,6240,6260,875
20250428,1052,6260,6260,6260,6260,22
20250428,1053,6260,6260,6260,6260,231
20250428,1054,6260,6260,6250,6250,20
20250428,1055,6250,6250,6250,6250,5
20250428,1058,6260,6260,6260,6260,11
20250428,1103,6250,6250,6250,6250,1
20250428,1104,6250,6250,6250,6250,4
20250428,1110,6250,6250,6250,6250,173
20250428,1111,6260,6260,6260,6260,1
20250428,1112,6260,6260,6260,6260,1
20250428,1113,6260,6260,6260,6260,4
20250428,1117,6260,6260,6260,6260,2
20250428,1118,6250,6250,6250,6250,2
20250428,1119,6250,6250,6250,6250,100
20250428,1121,6260,6260,6260,6260,34
20250428,1122,6250,6250,6250,6250,10
20250428,1128,6260,6260,6260,6260,2
20250428,1140,6250,6250,6250,6250,1
20250428,1143,6250,6250,6250,6250,2
20250428,1144,6260,6260,6260,6260,152
20250428,1146,6250,6250,6250,6250,8
20250428,1149,6260,6260,6260,6260,284
20250428,1151,6250,6250,6250,6250,171
20250428,1154,6250,6250,6250,6250,50
20250428,1202,6250,6250,6250,6250,50
20250428,1205,6250,6250,6250,6250,160
20250428,1206,6250,6250,6250,6250,50
20250428,1210,6250,6250,6250,6250,105
20250428,1218,6250,6250,6250,6250,10
20250428,1224,6250,6250,6250,6250,5
20250428,1232,6250,6250,6250,6250,15
20250428,1237,6250,6250,6250,6250,97
20250428,1238,6250,6250,6250,6250,325
20250428,1243,6250,6250,6250,6250,28
20250428,1246,6250,6250,6250,6250,60
20250428,1250,6260,6260,6250,6250,3
20250428,1255,6250,6250,6250,6250,6
20250428,1257,6250,6250,6250,6250,48
20250428,1302,6250,6250,6250,6250,1
20250428,1305,6250,6250,6250,6250,50
20250428,1309,6250,6250,6250,6250,15
20250428,1310,6240,6240,6240,6240,187
20250428,1312,6250,6250,6250,6250,6
20250428,1317,6250,6250,6250,6250,13
20250428,1323,6240,6250,6240,6250,1390
20250428,1326,6250,6250,6250,6250,500
20250428,1328,6240,6240,6240,6240,4
20250428,1334,6230,6230,6230,6230,10
20250428,1337,6230,6230,6230,6230,260
20250428,1340,6230,6230,6230,6230,1
20250428,1343,6230,6230,6230,6230,287
20250428,1358,6230,6230,6220,6220,56
20250428,1404,6230,6230,6230,6230,1
20250428,1407,6220,6220,6220,6220,792
20250428,1409,6220,6220,6220,6220,74
20250428,1410,6220,6220,6220,6220,9
20250428,1415,6220,6220,6200,6210,1692
20250428,1419,6210,6210,6210,6210,500
20250428,1420,6200,6210,6200,6210,396
20250428,1421,6210,6220,6210,6220,30
20250428,1426,6220,6220,6220,6220,50
20250428,1429,6210,6210,6210,6210,477
20250428,1430,6200,6200,6200,6200,1
20250428,1431,6200,6200,6200,6200,635
20250428,1432,6210,6210,6210,6210,1
20250428,1441,6200,6200,6200,6200,401
20250428,1448,6210,6210,6210,6210,5
20250428,1450,6210,6210,6210,6210,5
20250428,1458,6210,6210,6210,6210,1
20250428,1500,6210,6210,6210,6210,4
20250428,1501,6210,6210,6210,6210,21
20250428,1503,6200,6200,6190,6190,766
20250428,1505,6200,6200,6190,6200,3
20250428,1506,6200,6200,6200,6200,2
20250428,1507,6200,6200,6200,6200,2
20250428,1509,6190,6190,6190,6190,2
20250428,1510,6190,6190,6190,6190,1064
20250428,1512,6200,6200,6200,6200,243
20250428,1513,6190,6190,6190,6190,200
20250428,1514,6190,6190,6180,6180,80
20250428,1515,6180,6180,6180,6180,10
20250428,1517,6200,6200,6200,6200,7
20250428,1519,6180,6210,6170,6210,1576
20250428,1520,6210,6210,6180,6180,9
20250428,1530,6200,6200,6200,6200,286
20250429,901,6230,6230,6230,6230,16
20250429,903,6230,6230,6230,6230,8
20250429,904,6230,6240,6230,6240,168
20250429,905,6240,6240,6240,6240,63
20250429,906,6240,6240,6240,6240,377
20250429,907,6240,6240,6230,6230,11
20250429,909,6230,6230,6230,6230,1
20250429,910,6230,6230,6230,6230,26
20250429,911,6240,6240,6240,6240,1
20250429,912,6230,6230,6230,6230,35
20250429,913,6230,6230,6230,6230,2
